LOAN_ID,CUSTOMER_ID,AGE,GENDER,STATE,OCCUPATION,MONTHLY_INCOME,LOAN_PRODUCT,LOAN_AMOUNT,SANCTION_AMOUNT,LOAN_TENURE,INTEREST_RATE,EMI_AMOUNT,BUREAU_SCORE,VINTAGE_MONTHS,CURRENT_DPD,MAX_DPD,OUTSTANDING_BALANCE,COLLECTION_BUCKET,LOAN_STATUS,DEFAULT_FLAG,WRITE_OFF_FLAG,DISBURSAL_DATE,LAST_PAYMENT_DATE,FOIR,EMI_INCOME_RATIO,CREDIT_UTILIZATION,IS_DELINQUENT
LN0000166,CUST000457,45,Female,Uttar Pradesh,Self Employed,95107.0,Personal Loan,267388,214738,12,16.54,19538.28,704.0,7,0,60,58627,Current,Active,0,0,2020-10-11,2021-04-08,0.20543472089330964,20.543472089330965,0.27301642000949994,0
LN0000506,CUST000122,46,Male,Rajasthan,Self Employed,43213.0,Consumer Durable Loan,68802,47177,24,20.44,2411.26,696.0,1,0,150,36504,Current,Active,0,0,2024-10-26,2024-10-30,0.05579941221391711,5.579941221391711,0.7737668779278039,0
LN0000613,CUST000258,48,Male,Delhi,Salaried,42843.0,Personal Loan,304085,224354,12,18.61,20633.96,624.0,11,7,120,92889,1-30,Active,0,0,2021-02-04,2021-11-17,0.48161800060686694,48.161800060686694,0.4140287224653895,1
LN0000585,CUST000061,36,Female,Tamil Nadu,Self Employed,44958.0,Personal Loan,550709,453100,12,14.37,40761.47,673.0,68,7,15,120899,1-30,Active,0,0,2024-10-26,2030-04-17,0.9066566573246141,90.6656657324614,0.2668263076583536,1
LN0000255,CUST000469,21,Female,Tamil Nadu,Salaried,41248.0,Personal Loan,275636,177112,24,10.14,8184.27,568.0,49,0,150,105282,Current,Active,0,0,2024-07-07,2028-06-16,0.1984161656322731,19.84161656322731,0.5944374181309002,0
LN0000751,CUST000445,49,Female,West Bengal,Business,,Vehicle Loan,100000,76960,60,17.75,1943.83,697.0,60,0,0,26351,Current,Active,0,0,2021-05-25,2026-03-25,,,0.34239864864864866,0
LN0000529,CUST000254,37,Female,West Bengal,Professional,45989.0,Vehicle Loan,808222,604376,60,13.3,13844.41,648.0,48,0,120,166978,Current,Active,0,0,2022-09-08,2026-08-18,0.3010374219922155,30.10374219922155,0.2762816524812369,0
LN0000843,CUST000658,25,Female,Delhi,,35197.0,MSME Loan,1079357,858544,60,15.06,20451.75,,33,30,120,395356,1-30,Active,0,0,2022-09-21,2025-05-05,0.5810651475978066,58.10651475978066,0.46049590935351015,1
LN0000150,CUST000112,29,Female,Maharashtra,Salaried,53978.0,Consumer Durable Loan,110830,100173,24,13.32,4777.48,756.0,60,0,120,18861,Current,Active,0,0,2020-01-27,2024-12-16,0.08850791063025676,8.850791063025676,0.18828426821598634,0
LN0000645,CUST000303,45,Male,Karnataka,Self Employed,90674.0,Personal Loan,360560,298447,18,15.63,18707.16,775.0,25,30,120,230102,1-30,Active,0,0,2025-03-29,2027-02-03,0.20631228356529988,20.631228356529988,0.7709978656176809,1
